ItemNumber,,AgentShape,AgentShapeLower,PatientName,PatientShape,PatientShapeLower,VerbStem,PastTense,PastParticiple,Verb,ProgressiveActive,PastActive,GenericProgressiveActive,GenericPastActive,ProgressivePassive,PastPassive,GenericProgressivePassive,GenericPastPassive,Flip_A1,Flip_A2,Randomize,Flip_Order_A1,Order_A1_agent,Order_A2_agent,Order_A1_patient,Order_A2_patient
,Lily,Triangle,triangle,Zach,Star,star,stopp,stopped,stopped,stop,Lily Triangle is stopping Zach Star.,Lily Triangle stopped Zach Star.,The triangle is stopping the star.,The triangle stopped the star.,Zach Star is being stopped by Lily Triangle.,Zach Star was stopped by Lily Triangle.,The star is being stopped by the triangle.,The star was stopped by the triangle.,,,,,,,,
,Lily,Triangle,triangle,Melissa,Oval,oval,stopp,stopped,stopped,stop,Lily Triangle is stopping Melissa Oval.,Lily Triangle stopped Melissa Oval.,The triangle is stopping the oval.,The triangle stopped the oval.,Melissa Oval is being stopped by Lily Triangle.,Melissa Oval was stopped by Lily Triangle.,The oval is being stopped by the triangle.,The oval was stopped by the triangle.,,,,,,,,
,Lily,Triangle,triangle,Kyle,Square,square,bounc,bounced,bounced,bounce,Lily Triangle is bouncing Kyle Square.,Lily Triangle bounced Kyle Square.,The triangle is bouncing the square.,The triangle bounced the square.,Kyle Square is being bounced by Lily Triangle.,Kyle Square was bounced by Lily Triangle.,The square is being bounced by the triangle.,The square was bounced by the triangle.,,,,,,,,
,Lily,Triangle,triangle,Zach,Star,star,bounc,bounced,bounced,bounce,Lily Triangle is bouncing Zach Star.,Lily Triangle bounced Zach Star.,The triangle is bouncing the star.,The triangle bounced the star.,Zach Star is being bounced by Lily Triangle.,Zach Star was bounced by Lily Triangle.,The star is being bounced by the triangle.,The star was bounced by the triangle.,,,,,,,,
,Lily,Triangle,triangle,Melissa,Oval,oval,bounc,bounced,bounced,bounce,Lily Triangle is bouncing Melissa Oval.,Lily Triangle bounced Melissa Oval.,The triangle is bouncing the oval.,The triangle bounced the oval.,Melissa Oval is being bounced by Lily Triangle.,Melissa Oval was bounced by Lily Triangle.,The oval is being bounced by the triangle.,The oval was bounced by the triangle.,,,,,,,,
,Lily,Triangle,triangle,Kyle,Square,square,roll,rolled,rolled,roll,Lily Triangle is rolling Kyle Square.,Lily Triangle rolled Kyle Square.,The triangle is rolling the square.,The triangle rolled the square.,Kyle Square is being rolled by Lily Triangle.,Kyle Square was rolled by Lily Triangle.,The square is being rolled by the triangle.,The square was rolled by the triangle.,,,,,,,,
,Lily,Triangle,triangle,Zach,Star,star,roll,rolled,rolled,roll,Lily Triangle is rolling Zach Star.,Lily Triangle rolled Zach Star.,The triangle is rolling the star.,The triangle rolled the star.,Zach Star is being rolled by Lily Triangle.,Zach Star was rolled by Lily Triangle.,The star is being rolled by the triangle.,The star was rolled by the triangle.,,,,,,,,
,Lily,Triangle,triangle,Melissa,Oval,oval,roll,rolled,rolled,roll,Lily Triangle is rolling Melissa Oval.,Lily Triangle rolled Melissa Oval.,The triangle is rolling the oval.,The triangle rolled the oval.,Melissa Oval is being rolled by Lily Triangle.,Melissa Oval was rolled by Lily Triangle.,The oval is being rolled by the triangle.,The oval was rolled by the triangle.,,,,,,,,
,Lily,Triangle,triangle,Kyle,Square,square,shak,shook,shaken,shake,Lily Triangle is shaking Kyle Square.,Lily Triangle shook Kyle Square.,The triangle is shaking the square.,The triangle shook the square.,Kyle Square is being shaken by Lily Triangle.,Kyle Square was shaken by Lily Triangle.,The square is being shaken by the triangle.,The square was shaken by the triangle.,,,,,,,,
,Lily,Triangle,triangle,Zach,Star,star,shak,shook,shaken,shake,Lily Triangle is shaking Zach Star.,Lily Triangle shook Zach Star.,The triangle is shaking the star.,The triangle shook the star.,Zach Star is being shaken by Lily Triangle.,Zach Star was shaken by Lily Triangle.,The star is being shaken by the triangle.,The star was shaken by the triangle.,,,,,,,,
,Lily,Triangle,triangle,Melissa,Oval,oval,shak,shook,shaken,shake,Lily Triangle is shaking Melissa Oval.,Lily Triangle shook Melissa Oval.,The triangle is shaking the oval.,The triangle shook the oval.,Melissa Oval is being shaken by Lily Triangle.,Melissa Oval was shaken by Lily Triangle.,The oval is being shaken by the triangle.,The oval was shaken by the triangle.,,,,,,,,
,Lily,Triangle,triangle,Kyle,Square,square,balanc,balanced,balanced,balance,Lily Triangle is balancing Kyle Square.,Lily Triangle balanced Kyle Square.,The triangle is balancing the square.,The triangle balanced the square.,Kyle Square is being balanced by Lily Triangle.,Kyle Square was balanced by Lily Triangle.,The square is being balanced by the triangle.,The square was balanced by the triangle.,,,,,,,,
,Lily,Triangle,triangle,Zach,Star,star,balanc,balanced,balanced,balance,Lily Triangle is balancing Zach Star.,Lily Triangle balanced Zach Star.,The triangle is balancing the star.,The triangle balanced the star.,Zach Star is being balanced by Lily Triangle.,Zach Star was balanced by Lily Triangle.,The star is being balanced by the triangle.,The star was balanced by the triangle.,,,,,,,,
,Lily,Triangle,triangle,Melissa,Oval,oval,balanc,balanced,balanced,balance,Lily Triangle is balancing Melissa Oval.,Lily Triangle balanced Melissa Oval.,The triangle is balancing the oval.,The triangle balanced the oval.,Melissa Oval is being balanced by Lily Triangle.,Melissa Oval was balanced by Lily Triangle.,The oval is being balanced by the triangle.,The oval was balanced by the triangle.,,,,,,,,
,Zach,Star,star,Kyle,Square,square,stopp,stopped,stopped,stop,Zach Star is stopping Kyle Square.,Zach Star stopped Kyle Square.,The star is stopping the square.,The star stopped the square.,Kyle Square is being stopped by Zach Star.,Kyle Square was stopped by Zach Star.,The square is being stopped by the star.,The square was stopped by the star.,,,,,,,,
,Zach,Star,star,Lily,Triangle,triangle,stopp,stopped,stopped,stop,Zach Star is stopping Lily Triangle.,Zach Star stopped Lily Triangle.,The star is stopping the triangle.,The star stopped the triangle.,Lily Triangle is being stopped by Zach Star.,Lily Triangle was stopped by Zach Star.,The triangle is being stopped by the star.,The triangle was stopped by the star.,,,,,,,,
,Zach,Star,star,Melissa,Oval,oval,stopp,stopped,stopped,stop,Zach Star is stopping Melissa Oval.,Zach Star stopped Melissa Oval.,The star is stopping the oval.,The star stopped the oval.,Melissa Oval is being stopped by Zach Star.,Melissa Oval was stopped by Zach Star.,The oval is being stopped by the star.,The oval was stopped by the star.,,,,,,,,
,Zach,Star,star,Kyle,Square,square,bounc,bounced,bounced,bounce,Zach Star is bouncing Kyle Square.,Zach Star bounced Kyle Square.,The star is bouncing the square.,The star bounced the square.,Kyle Square is being bounced by Zach Star.,Kyle Square was bounced by Zach Star.,The square is being bounced by the star.,The square was bounced by the star.,,,,,,,,
,Zach,Star,star,Lily,Triangle,triangle,bounc,bounced,bounced,bounce,Zach Star is bouncing Lily Triangle.,Zach Star bounced Lily Triangle.,The star is bouncing the triangle.,The star bounced the triangle.,Lily Triangle is being bounced by Zach Star.,Lily Triangle was bounced by Zach Star.,The triangle is being bounced by the star.,The triangle was bounced by the star.,,,,,,,,
,Zach,Star,star,Melissa,Oval,oval,bounc,bounced,bounced,bounce,Zach Star is bouncing Melissa Oval.,Zach Star bounced Melissa Oval.,The star is bouncing the oval.,The star bounced the oval.,Melissa Oval is being bounced by Zach Star.,Melissa Oval was bounced by Zach Star.,The oval is being bounced by the star.,The oval was bounced by the star.,,,,,,,,
,Zach,Star,star,Kyle,Square,square,roll,rolled,rolled,roll,Zach Star is rolling Kyle Square.,Zach Star rolled Kyle Square.,The star is rolling the square.,The star rolled the square.,Kyle Square is being rolled by Zach Star.,Kyle Square was rolled by Zach Star.,The square is being rolled by the star.,The square was rolled by the star.,,,,,,,,
,Zach,Star,star,Lily,Triangle,triangle,roll,rolled,rolled,roll,Zach Star is rolling Lily Triangle.,Zach Star rolled Lily Triangle.,The star is rolling the triangle.,The star rolled the triangle.,Lily Triangle is being rolled by Zach Star.,Lily Triangle was rolled by Zach Star.,The triangle is being rolled by the star.,The triangle was rolled by the star.,,,,,,,,
,Zach,Star,star,Melissa,Oval,oval,roll,rolled,rolled,roll,Zach Star is rolling Melissa Oval.,Zach Star rolled Melissa Oval.,The star is rolling the oval.,The star rolled the oval.,Melissa Oval is being rolled by Zach Star.,Melissa Oval was rolled by Zach Star.,The oval is being rolled by the star.,The oval was rolled by the star.,,,,,,,,
,Zach,Star,star,Kyle,Square,square,shak,shook,shaken,shake,Zach Star is shaking Kyle Square.,Zach Star shook Kyle Square.,The star is shaking the square.,The star shook the square.,Kyle Square is being shaken by Zach Star.,Kyle Square was shaken by Zach Star.,The square is being shaken by the star.,The square was shaken by the star.,,,,,,,,
,Zach,Star,star,Lily,Triangle,triangle,shak,shook,shaken,shake,Zach Star is shaking Lily Triangle.,Zach Star shook Lily Triangle.,The star is shaking the triangle.,The star shook the triangle.,Lily Triangle is being shaken by Zach Star.,Lily Triangle was shaken by Zach Star.,The triangle is being shaken by the star.,The triangle was shaken by the star.,,,,,,,,
,Zach,Star,star,Melissa,Oval,oval,shak,shook,shaken,shake,Zach Star is shaking Melissa Oval.,Zach Star shook Melissa Oval.,The star is shaking the oval.,The star shook the oval.,Melissa Oval is being shaken by Zach Star.,Melissa Oval was shaken by Zach Star.,The oval is being shaken by the star.,The oval was shaken by the star.,,,,,,,,
,Zach,Star,star,Kyle,Square,square,balanc,balanced,balanced,balance,Zach Star is balancing Kyle Square.,Zach Star balanced Kyle Square.,The star is balancing the square.,The star balanced the square.,Kyle Square is being balanced by Zach Star.,Kyle Square was balanced by Zach Star.,The square is being balanced by the star.,The square was balanced by the star.,,,,,,,,
,Zach,Star,star,Lily,Triangle,triangle,balanc,balanced,balanced,balance,Zach Star is balancing Lily Triangle.,Zach Star balanced Lily Triangle.,The star is balancing the triangle.,The star balanced the triangle.,Lily Triangle is being balanced by Zach Star.,Lily Triangle was balanced by Zach Star.,The triangle is being balanced by the star.,The triangle was balanced by the star.,,,,,,,,
,Zach,Star,star,Melissa,Oval,oval,balanc,balanced,balanced,balance,Zach Star is balancing Melissa Oval.,Zach Star balanced Melissa Oval.,The star is balancing the oval.,The star balanced the oval.,Melissa Oval is being balanced by Zach Star.,Melissa Oval was balanced by Zach Star.,The oval is being balanced by the star.,The oval was balanced by the star.,,,,,,,,
,Melissa,Oval,oval,Kyle,Square,square,stopp,stopped,stopped,stop,Melissa Oval is stopping Kyle Square.,Melissa Oval stopped Kyle Square.,The oval is stopping the square.,The oval stopped the square.,Kyle Square is being stopped by Melissa Oval.,Kyle Square was stopped by Melissa Oval.,The square is being stopped by the oval.,The square was stopped by the oval.,,,,,,,,
,Melissa,Oval,oval,Lily,Triangle,triangle,stopp,stopped,stopped,stop,Melissa Oval is stopping Lily Triangle.,Melissa Oval stopped Lily Triangle.,The oval is stopping the triangle.,The oval stopped the triangle.,Lily Triangle is being stopped by Melissa Oval.,Lily Triangle was stopped by Melissa Oval.,The triangle is being stopped by the oval.,The triangle was stopped by the oval.,,,,,,,,
,Melissa,Oval,oval,Zach,Star,star,stopp,stopped,stopped,stop,Melissa Oval is stopping Zach Star.,Melissa Oval stopped Zach Star.,The oval is stopping the star.,The oval stopped the star.,Zach Star is being stopped by Melissa Oval.,Zach Star was stopped by Melissa Oval.,The star is being stopped by the oval.,The star was stopped by the oval.,,,,,,,,
,Melissa,Oval,oval,Kyle,Square,square,bounc,bounced,bounced,bounce,Melissa Oval is bouncing Kyle Square.,Melissa Oval bounced Kyle Square.,The oval is bouncing the square.,The oval bounced the square.,Kyle Square is being bounced by Melissa Oval.,Kyle Square was bounced by Melissa Oval.,The square is being bounced by the oval.,The square was bounced by the oval.,,,,,,,,
,Melissa,Oval,oval,Lily,Triangle,triangle,bounc,bounced,bounced,bounce,Melissa Oval is bouncing Lily Triangle.,Melissa Oval bounced Lily Triangle.,The oval is bouncing the triangle.,The oval bounced the triangle.,Lily Triangle is being bounced by Melissa Oval.,Lily Triangle was bounced by Melissa Oval.,The triangle is being bounced by the oval.,The triangle was bounced by the oval.,,,,,,,,
,Melissa,Oval,oval,Zach,Star,star,bounc,bounced,bounced,bounce,Melissa Oval is bouncing Zach Star.,Melissa Oval bounced Zach Star.,The oval is bouncing the star.,The oval bounced the star.,Zach Star is being bounced by Melissa Oval.,Zach Star was bounced by Melissa Oval.,The star is being bounced by the oval.,The star was bounced by the oval.,,,,,,,,
,Melissa,Oval,oval,Kyle,Square,square,roll,rolled,rolled,roll,Melissa Oval is rolling Kyle Square.,Melissa Oval rolled Kyle Square.,The oval is rolling the square.,The oval rolled the square.,Kyle Square is being rolled by Melissa Oval.,Kyle Square was rolled by Melissa Oval.,The square is being rolled by the oval.,The square was rolled by the oval.,,,,,,,,
,Melissa,Oval,oval,Lily,Triangle,triangle,roll,rolled,rolled,roll,Melissa Oval is rolling Lily Triangle.,Melissa Oval rolled Lily Triangle.,The oval is rolling the triangle.,The oval rolled the triangle.,Lily Triangle is being rolled by Melissa Oval.,Lily Triangle was rolled by Melissa Oval.,The triangle is being rolled by the oval.,The triangle was rolled by the oval.,,,,,,,,
,Melissa,Oval,oval,Zach,Star,star,roll,rolled,rolled,roll,Melissa Oval is rolling Zach Star.,Melissa Oval rolled Zach Star.,The oval is rolling the star.,The oval rolled the star.,Zach Star is being rolled by Melissa Oval.,Zach Star was rolled by Melissa Oval.,The star is being rolled by the oval.,The star was rolled by the oval.,,,,,,,,
,Melissa,Oval,oval,Kyle,Square,square,shak,shook,shaken,shake,Melissa Oval is shaking Kyle Square.,Melissa Oval shook Kyle Square.,The oval is shaking the square.,The oval shook the square.,Kyle Square is being shaken by Melissa Oval.,Kyle Square was shaken by Melissa Oval.,The square is being shaken by the oval.,The square was shaken by the oval.,,,,,,,,
,Melissa,Oval,oval,Lily,Triangle,triangle,shak,shook,shaken,shake,Melissa Oval is shaking Lily Triangle.,Melissa Oval shook Lily Triangle.,The oval is shaking the triangle.,The oval shook the triangle.,Lily Triangle is being shaken by Melissa Oval.,Lily Triangle was shaken by Melissa Oval.,The triangle is being shaken by the oval.,The triangle was shaken by the oval.,,,,,,,,
,Melissa,Oval,oval,Zach,Star,star,shak,shook,shaken,shake,Melissa Oval is shaking Zach Star.,Melissa Oval shook Zach Star.,The oval is shaking the star.,The oval shook the star.,Zach Star is being shaken by Melissa Oval.,Zach Star was shaken by Melissa Oval.,The star is being shaken by the oval.,The star was shaken by the oval.,,,,,,,,
,Melissa,Oval,oval,Kyle,Square,square,balanc,balanced,balanced,balance,Melissa Oval is balancing Kyle Square.,Melissa Oval balanced Kyle Square.,The oval is balancing the square.,The oval balanced the square.,Kyle Square is being balanced by Melissa Oval.,Kyle Square was balanced by Melissa Oval.,The square is being balanced by the oval.,The square was balanced by the oval.,,,,,,,,
,Melissa,Oval,oval,Lily,Triangle,triangle,balanc,balanced,balanced,balance,Melissa Oval is balancing Lily Triangle.,Melissa Oval balanced Lily Triangle.,The oval is balancing the triangle.,The oval balanced the triangle.,Lily Triangle is being balanced by Melissa Oval.,Lily Triangle was balanced by Melissa Oval.,The triangle is being balanced by the oval.,The triangle was balanced by the oval.,,,,,,,,
,Melissa,Oval,oval,Zach,Star,star,balanc,balanced,balanced,balance,Melissa Oval is balancing Zach Star.,Melissa Oval balanced Zach Star.,The oval is balancing the star.,The oval balanced the star.,Zach Star is being balanced by Melissa Oval.,Zach Star was balanced by Melissa Oval.,The star is being balanced by the oval.,The star was balanced by the oval.,,,,,,,,
